,second_name,first_name,id,team,element_type,total_points,points_per_game,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,form,in_dreamteam,news,news_added,now_cost,photo,selected_by_percent,special,squad_number,status,team_code,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
11,Wright,James,778,2,1,0,0.0,,,481283,0,0,0,0,0,0.5,0.0,0,0.0,False,,,40,481283.jpg,0.0,False,,a,7,495,22,224,17,0.0,0.0,Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,613,82,599,65,563,54,617,82,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,739,60,479,75,624,82,738,87,0.0,0.0
12,Gauci,Joe,818,2,1,0,0.0,,,462492,0,0,-1,1,0,0.5,0.0,0,0.0,False,,,39,462492.jpg,0.0,False,,a,7,190,25,79,9,0.0,0.0,Gauci,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,552,54,538,37,498,26,555,54,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,817,87,413,47,563,54,793,92,0.0,0.0
13,Murara Neto,Norberto,77,3,1,93,3.6,100.0,100.0,69752,0,0,2,-2,2,0.0,7.4,3,3.2,False,,2023-10-27T13:30:07.907911Z,47,69752.jpg,6.0,False,,a,91,942820,2682,356933,12303,0.7,19.8,Neto,2305,0,0,6,45,0,1,0,4,0,97,12,496,730.4,0.0,0.0,73.1,26,0.00,0.01,0.01,41.85,16,7,787,90,781,86,164,7,,,,,,,0.0,3.79,0.0,0.0,1.63,1.76,307,12,82,9,78,10,58,12,1.02,0.23
14,Randolph,Darren,80,3,1,0,0.0,100.0,100.0,32259,0,0,0,0,0,0.0,1.0,0,0.0,False,,2023-10-28T18:00:07.926322Z,40,32259.jpg,0.4,False,,a,91,9722,44,30925,129,0.0,0.0,Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,562,60,548,43,510,32,566,60,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,675,38,425,53,573,60,274,35,0.0,0.0
15,Travers,Mark,88,3,1,0,0.0,100.0,100.0,229600,0,0,0,0,0,0.0,1.0,0,0.0,False,,2023-07-28T08:25:34.409705Z,40,229600.jpg,0.1,False,,a,91,1526,36,10242,51,0.0,0.0,Travers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,584,69,570,52,533,41,588,69,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,703,47,447,62,595,69,435,60,0.0,0.0
16,Radu,Ionuț,607,3,1,2,1.0,,,215531,0,0,-2,2,0,0.0,1.0,0,0.0,False,,,43,215531.jpg,0.1,False,,a,91,6113,24,10234,53,0.0,0.5,Radu,180,0,0,0,7,0,0,0,0,0,5,0,31,33.0,0.0,0.0,3.3,2,0.00,0.00,0.00,2.76,443,34,650,76,623,67,474,34,,,,,,,0.0,2.5,0.0,0.0,1.38,3.5,627,32,553,85,453,37,425,59,1.0,0.0
17,Balcombe,Ellery,91,4,1,0,0.0,,,235448,0,0,-1,1,0,0.5,-1.0,0,0.0,False,,,39,235448.jpg,0.2,False,,a,94,10458,43,17569,77,0.0,0.0,Balcombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,548,52,534,35,494,24,551,52,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,809,85,407,45,559,52,337,48,0.0,0.0
18,Cox,Matthew,97,4,1,0,0.0,0.0,0.0,503300,0,0,0,0,0,0.0,0.0,0,0.0,False,On loan to Bristol Rovers for the season,2023-07-26T11:24:14.392215Z,40,503300.jpg,0.0,False,,u,94,0,0,551,2,0.0,0.0,Cox,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,620,83,606,66,570,55,624,83,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,746,61,486,76,631,83,752,88,0.0,0.0
19,Flekken,Mark,101,4,1,77,2.9,100.0,100.0,118342,0,0,0,0,2,2.5,1.0,2,2.0,False,,2023-11-04T19:30:07.833796Z,45,118342.jpg,5.7,False,,a,94,697218,23164,531530,2459,0.4,17.1,Flekken,2385,0,1,4,50,0,0,0,3,0,88,5,492,690.0,10.0,0.0,70.0,27,0.00,0.09,0.09,40.73,24,9,440,7,675,78,175,9,,,,,,,0.0,3.32,0.0,0.0,1.54,1.89,362,18,161,16,154,20,67,14,1.02,0.15
20,Strakosha,Thomas,116,4,1,4,2.0,100.0,100.0,140200,0,0,-1,1,0,0.5,-1.0,0,0.0,False,,2023-08-26T21:00:07.515720Z,39,140200.jpg,1.5,False,,a,94,277389,149,173101,942,0.0,1.0,Strakosha,135,0,0,0,2,0,0,0,0,0,6,0,24,42.8,0.0,0.0,4.3,1,0.00,0.01,0.01,1.68,431,33,524,26,484,15,466,33,,,,,,,0.0,4.0,0.01,0.01,1.12,1.33,795,76,396,36,294,32,168,23,0.67,0.0
21,Angelini,Vincent,752,4,1,0,0.0,,,563883,0,0,0,0,0,0.5,-1.0,0,0.0,False,,,40,563883.jpg,0.0,False,,a,94,1322,41,743,15,0.0,0.0,Angelini,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,642,87,628,70,593,59,646,87,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,770,65,509,80,653,87,674,81,0.0,0.0
22,Valdimarsson,Hákon,789,4,1,0,0.0,,,507433,0,0,0,0,0,0.5,-1.0,0,0.0,False,,,40,507433.jpg,0.0,False,,a,94,473,29,222,14,0.0,0.0,Valdimarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,623,84,609,67,573,56,627,84,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,750,62,489,77,634,84,754,89,0.0,0.0
23,McGill,Tom,141,5,1,0,0.0,,,209288,0,0,-1,1,0,0.0,0.0,0,0.0,False,,,39,209288.jpg,0.3,False,,a,36,20760,35,22630,91,0.0,0.0,McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,544,49,529,31,489,20,547,49,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,803,81,402,41,555,49,318,43,0.0,0.0
24,Scherpen,Kjell,147,5,1,0,0.0,0.0,0.0,240514,0,0,0,0,0,0.0,0.0,0,0.0,False,Joined Sturm Graz on a season-long loan,2023-07-06T16:30:02.985300Z,40,240514.jpg,0.0,False,,u,36,0,0,35,0,0.0,0.0,Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,588,70,574,53,537,42,592,70,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,707,48,451,63,599,70,824,94,0.0,0.0
25,Steele,Jason,148,5,1,41,2.7,,,49262,0,0,-3,3,1,0.0,0.2,0,0.2,False,,,42,49262.jpg,2.0,False,,a,36,210812,193,544975,1767,0.0,9.8,Steele,1350,0,0,2,28,0,0,0,0,0,39,5,270,347.4,0.1,0.0,34.7,15,0.00,0.00,0.00,22.36,155,18,502,10,605,62,301,18,,,,,,,0.0,2.6,0.0,0.0,1.49,1.87,647,35,345,26,172,22,143,18,1.0,0.13
26,Verbruggen,Bart,152,5,1,40,3.1,,,489639,0,0,-1,1,0,0.0,4.2,10,4.2,False,,,44,489639.jpg,0.4,False,,a,36,49735,788,60847,400,1.0,9.1,Verbruggen,1170,0,0,2,16,0,0,0,2,0,36,5,248,315.6,0.0,0.0,31.6,13,0.00,0.00,0.00,17.31,185,20,685,82,660,73,316,20,,,,,,,0.0,2.77,0.0,0.0,1.33,1.23,577,28,49,5,133,18,269,34,1.0,0.15
27,Franchi,Denis,169,6,1,0,0.0,0.0,0.0,493347,0,0,-1,1,0,0.0,0.0,0,0.0,False,Permanent transfer to Ternana,2024-02-02T15:27:56.839710Z,39,493347.jpg,0.1,False,,u,90,10429,0,15956,88,0.0,0.0,Franchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,556,57,542,40,502,29,559,57,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,822,90,418,50,567,57,399,58,0.0,0.0
28,Muric,Arijanet,172,6,1,0,0.0,100.0,100.0,232917,0,0,-2,2,0,-0.5,-0.5,0,0.0,False,,2023-11-23T20:00:10.046521Z,43,232917.jpg,0.1,False,,a,90,2601,51,18682,42,0.0,0.0,Muric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,664,91,653,77,626,68,667,91,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,632,33,556,86,675,91,387,55,0.0,0.0
29,Peacock-Farrell,Bailey,175,6,1,0,0.0,0.0,0.0,220037,0,0,0,0,0,0.0,0.0,0,0.0,False,Joined Aarhus on loan,2023-07-26T11:25:50.410533Z,40,220037.jpg,0.0,False,,u,90,0,0,1082,2,0.0,0.0,Peacock-Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,582,68,568,51,531,40,586,68,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,701,46,445,61,593,68,713,84,0.0,0.0
30,Vigouroux,Lawrence,181,6,1,0,0.0,,,133085,0,0,-1,1,0,-0.5,-0.5,0,0.0,False,,,39,133085.jpg,0.3,False,,a,90,19311,94,18825,129,0.0,0.0,Vigouroux,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,539,44,522,24,482,13,542,44,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,793,74,394,34,550,44,319,44,0.0,0.0
31,Trafford,James,596,6,1,70,2.5,,,432720,0,0,0,0,1,0.5,0.5,1,1.0,False,,,45,432720.jpg,1.1,False,,a,90,112008,2100,123330,635,0.2,15.6,Trafford,2520,0,0,2,62,0,0,0,2,0,106,5,533,903.6,3.3,0.0,90.7,28,0.00,0.04,0.04,49.37,1,1,458,9,699,82,115,1,,,,,,,0.0,3.79,0.0,0.0,1.76,2.21,410,22,245,20,221,27,184,25,1.0,0.07
32,Sánchez,Robert,145,7,1,59,3.7,100.0,100.0,215059,0,0,0,0,1,0.0,0.0,0,0.0,False,,2023-12-10T23:00:09.742927Z,45,215059.jpg,2.7,False,,a,8,1000963,369,1102412,1495,0.0,13.1,Sanchez,1433,0,0,3,25,0,1,0,2,0,53,7,317,450.6,0.1,0.0,45.2,16,0.00,0.00,0.00,23.72,90,15,504,11,683,80,253,16,,,,,,,0.0,3.33,0.0,0.0,1.49,1.57,383,20,622,91,69,8,124,17,1.0,0.19
33,Arrizabalaga,Kepa,187,7,1,0,0.0,0.0,0.0,109745,0,0,0,0,0,0.0,0.0,0,0.0,False,One year loan deal to Real Madrid,2023-08-15T08:06:29.726491Z,50,109745.jpg,0.2,False,,u,8,1775,0,85042,15,0.0,0.0,Arrizabalaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,811,95,806,91,804,89,811,95,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,177,6,777,93,810,95,349,52,0.0,0.0
34,Bettinelli,Marcus,192,7,1,-1,0.0,100.0,100.0,122074,0,0,0,0,0,0.0,0.0,0,0.0,False,,2023-08-03T10:30:04.581002Z,40,122074.jpg,0.0,False,,a,8,2639,27,3061,23,0.0,-0.2,Bettinelli,0,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,571,65,557,48,520,37,575,65,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,687,43,434,58,582,65,583,74,0.0,0.0
35,Słonina,Gabriel,215,7,1,0,0.0,0.0,0.0,471798,0,0,0,0,0,0.0,0.0,0,0.0,False,Season long loan to KAS Eupen,2023-08-11T10:44:59.272960Z,40,471798.jpg,0.0,False,,u,8,0,0,4288,6,0.0,0.0,Slonina,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,609,79,595,62,559,51,613,79,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,733,57,475,72,620,79,610,79,0.0,0.0
36,Bergström,Lucas,659,7,1,0,0.0,0.0,0.0,482158,0,0,-1,1,0,0.0,0.0,0,0.0,False,On loan to Brommapojkarna for the rest of the season,2024-03-04T08:06:52.593941Z,39,482158.jpg,0.0,False,,u,8,2326,0,2150,37,0.0,0.0,Bergström,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,554,55,540,38,500,27,557,55,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,820,88,416,48,565,55,594,76,0.0,0.0
37,Beach,Eddie,680,7,1,0,0.0,0.0,0.0,474803,0,0,0,0,0,0.0,0.0,0,0.0,False,On loan to National League side Gateshead until the end of the season,2024-01-12T11:04:19.343017Z,40,474803.jpg,0.0,False,,u,8,1449,0,1448,5,0.0,0.0,Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,611,80,597,63,561,52,615,80,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,735,58,477,73,622,80,664,80,0.0,0.0
38,Petrović,Đorđe,687,7,1,35,2.9,,,457569,0,0,0,0,0,0.0,1.3,0,1.3,False,,,45,457569.jpg,1.0,False,,a,8,196927,1890,95679,1859,0.3,7.8,Petrović,996,0,0,2,20,0,0,0,2,0,41,3,203,308.6,0.0,0.0,30.9,11,0.00,0.00,0.00,17.18,192,21,721,88,707,83,318,21,,,,,,,0.0,3.7,0.0,0.0,1.55,1.81,423,23,220,17,156,21,190,26,0.99,0.18
39,Guaita,Vicente,227,8,1,0,0.0,0.0,0.0,40836,0,0,-1,1,0,0.0,0.0,0,0.0,False,Signed for Celta Vigo,2023-09-02T08:56:40.331253Z,44,40836.jpg,0.2,False,,u,31,2528,0,71381,41,0.0,0.0,Guaita,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,668,93,657,79,631,70,671,93,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,513,25,565,88,679,93,348,51,0.0,0.0
40,Johnstone,Sam,230,8,1,68,3.4,100.0,100.0,101982,0,0,-1,1,2,0.0,3.5,2,3.0,False,,2023-12-09T16:30:08.974792Z,44,101982.jpg,2.0,False,,a,31,734413,442,762611,1960,0.7,15.5,Johnstone,1796,0,0,6,27,0,0,0,1,0,41,7,310,321.4,0.0,0.0,32.2,20,0.00,0.00,0.00,27.17,177,19,660,80,634,71,313,19,,,,,,,0.0,2.05,0.0,0.0,1.36,1.35,519,26,93,12,104,12,144,19,1.0,0.3
41,Matthews,Remi,233,8,1,1,1.0,,,169593,0,0,-1,1,0,0.0,0.5,0,0.0,False,,,39,169593.jpg,0.1,False,,a,31,7273,21,10122,70,0.0,0.3,Matthews,3,0,0,0,1,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0.00,0.00,0.00,0.07,519,37,527,29,487,18,529,37,,,,,,,0.0,0.0,0.0,0.0,2.1,30.0,799,79,399,39,440,36,394,56,0.0,0.0
42,Whitworth,Joe,243,8,1,0,0.0,,,487818,0,0,-1,1,0,0.0,0.5,0,0.0,False,,,39,487818.jpg,1.0,False,,a,31,32081,310,58835,344,0.0,0.0,Whitworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,555,56,541,39,501,28,558,56,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,821,89,417,49,566,56,197,27,0.0,0.0
43,Henderson,Dean,385,8,1,10,1.2,100.0,100.0,172649,0,0,-1,1,0,0.0,0.5,0,0.0,False,,2023-09-27T09:00:08.768948Z,44,172649.jpg,0.3,False,,a,31,48917,115,62854,323,0.0,2.3,Henderson,720,0,0,0,20,1,0,0,1,0,26,0,110,191.4,0.0,0.0,19.3,8,0.00,0.01,0.01,13.72,278,24,664,81,638,72,375,24,,,,,,,0.0,3.25,0.0,0.0,1.72,2.5,532,27,575,89,418,33,296,39,1.0,0.0
44,Pickford,Jordan,263,9,1,100,3.6,100.0,100.0,111234,0,0,1,-1,3,0.0,2.5,3,2.5,False,,2023-12-08T13:30:09.008625Z,46,111234.jpg,11.4,False,,a,11,1071931,4618,1306535,13935,0.5,21.7,Pickford,2520,0,0,8,39,1,0,0,4,0,86,12,511,682.8,43.4,0.0,72.7,28,0.00,0.34,0.34,40.25,25,10,357,1,777,84,165,8,,,,,,,0.0,3.07,0.01,0.01,1.44,1.39,336,13,127,15,77,9,37,6,1.0,0.29
45,Neves Virgínia,João,266,9,1,0,0.0,,,222627,0,0,-1,1,0,0.0,0.0,0,0.0,False,,,39,222627.jpg,0.4,False,,a,11,50910,16,63466,177,0.0,0.0,J.Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,547,51,532,33,492,22,550,51,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,806,83,405,43,558,51,253,33,0.0,0.0
46,Lonergan,Andy,579,9,1,0,0.0,,,11948,0,0,-1,1,0,0.0,0.0,0,0.0,False,,,39,11948.jpg,0.1,False,,a,11,3065,8,4883,36,0.0,0.0,Lonergan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,533,40,513,17,472,6,536,40,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,781,67,385,29,544,40,496,68,0.0,0.0
47,Leno,Bernd,275,10,1,98,3.5,,,80201,0,0,3,-3,2,2.7,3.2,1,3.2,False,,,48,80201.jpg,15.4,False,,a,54,1884858,10765,1221476,8562,0.7,20.4,Leno,2520,0,0,7,44,1,0,0,3,0,101,13,568,799.4,0.1,0.0,79.7,28,0.00,0.00,0.00,48.85,8,4,506,12,784,87,137,4,,,,,,,0.0,3.61,0.0,0.0,1.74,1.57,276,9,84,10,94,11,24,2,1.0,0.25
48,Rodák,Marek,284,10,1,-1,0.0,,,155529,0,0,-1,1,0,-0.5,0.0,0,0.0,False,,,39,155529.jpg,0.3,False,,a,54,21244,120,30617,181,0.0,-0.3,Rodák,0,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,541,46,525,27,485,16,544,46,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,796,77,397,37,552,46,285,36,0.0,0.0
49,Benda,Steven,692,10,1,0,0.0,,,428971,0,0,0,0,0,-0.5,0.0,0,0.0,False,,,40,428971.jpg,0.0,False,,a,54,3753,53,2480,37,0.0,0.0,Benda,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,592,72,578,55,541,44,596,72,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,713,50,457,65,603,72,588,75,0.0,0.0
50,San Miguel del Castillo,Adrián,289,11,1,0,0.0,,,60706,0,0,-1,1,0,0.0,-0.5,0,0.0,False,,,39,60706.jpg,0.2,False,,a,14,15351,53,25458,98,0.0,0.0,Adrián,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,535,42,515,19,474,8,538,42,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,784,69,388,31,546,42,322,45,0.0,0.0
51,Ramses Becker,Alisson,291,11,1,87,4.1,0.0,0.0,116535,0,0,3,-3,3,0.0,0.0,0,0.0,False,Hamstring injury - Expected back 31 Mar,2024-02-16T20:00:08.685039Z,58,116535.jpg,9.9,False,,i,14,1511035,410,1643623,19265,0.0,15.0,A.Becker,1890,0,0,7,19,0,0,0,1,0,58,9,443,476.6,10.1,0.0,48.5,21,0.00,0.00,0.00,25.67,72,13,437,4,829,95,236,13,,,,,,,0.0,2.76,0.0,0.0,1.22,0.9,71,1,818,95,42,2,41,8,1.0,0.33
